"2007 SCOTTISH LOCAL ELECTION RESULTS";;;;;;;;;;;;;;;;;;;
"District";"Ward";"Candidate";"Party";"First prefs";"Elected";;;;;;;;;;;;;;
"Perth & Kinross";"Highland";"Ron Rose ";"Ind";115;;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Sandy Miller ";"SNP";1445;1;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Willie Robertson ";"LD";1314;1;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Kathleen Baird ";"C";1217;1;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Michael Barnacle ";"LD";942;1;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Kate Milliken ";"Lab";650;;;;;;;;;;;;;;;
"Perth & Kinross";"Kinross-shire";"Andrew Thompson ";"Grn";216;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Jack Coburn ";"SNP";1299;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Peter Barrett ";"LD";1172;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Heather Stewart ";"C";1137;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Archie MacLellan ";"Lab";1012;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Gordon Hunter ";"SNP";488;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Ian Thomson ";"Ind";298;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City Centre";"Jack Cockin ";"Grn";238;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Elspeth MacLachlan ";"SNP";1217;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Dave Scott ";"SNP";1001;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"John Flynn ";"Lab";958;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Douglas Gratty ";"C";694;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Callum Gillies ";"Lab";666;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Philip Brown ";"LD";523;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City N.";"Adam Ramsay ";"Grn";130;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Willie Wilson ";"LD";1789;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Alexander Stewart ";"C";1768;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Robert Band ";"SNP";1033;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Jock Munro ";"Lab";796;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Lorraine Caddell ";"LD";618;1;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Andrew Gadsden ";"SNP";485;;;;;;;;;;;;;;;
"Perth & Kinross";"Perth City S.";"Keith Mothersson ";"Ind";191;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"John Law ";"SNP";1163;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Murray Lyle ";"C";842;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"John Wilson ";"C";666;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Colin Young ";"Ind";609;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Ann Gaunt ";"LD";541;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Anne Chatt ";"Lab";402;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Hilary Halley ";"Grn";225;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathallan";"Jock Stewart ";"Ind";53;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Anne Younger ";"SNP";1210;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Ann Cowan ";"C";1144;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Helen McDonald ";"C";884;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Rhona Brock ";"Ind";638;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Russell Auld ";"LD";635;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathearn";"Colin Crabbie ";"Ind";295;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Dennis Melloy ";"C";1764;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Lewis Simpson ";"LD";1390;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Alan Grant ";"SNP";1066;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Ian Miller ";"SNP";1003;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Stan McMillan ";"SNP";620;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Lorna Ferguson ";"Lab";470;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Michael Gallagher ";"Ind";308;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Louise Ramsay ";"Grn";285;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathmore";"Hugh Anderson ";"Ind";190;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathtay";"Barbara Vaughan ";"C";1400;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathtay";"John Kellas ";"SNP";1398;1;;;;;;;;;;;;;;
"Perth & Kinross";"Strathtay";"Alan Livingstone ";"LD";747;;;;;;;;;;;;;;;
"Perth & Kinross";"Strathtay";"Alasdair Wylie ";"SNP";742;1;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Iain Langlands ";"C";2077;1;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Carol Puthucheary ";"SNP";1375;1;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Michael Holmes ";"Lab";1113;1;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Bill Robertson ";"SNP";714;;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Michael Hanley ";"LD";360;;;;;;;;;;;;;;;
"Renfrewshire";"Bishopton, Bridge of Weir & Langbank";"Harry Pfaff ";"Sol";83;;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"Jim Harte ";"Lab";1963;1;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"James McQuade ";"SNP";1369;1;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"Iain Nicolson ";"SNP";1240;1;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"Sam Mullin ";"Lab";1238;1;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"Oonagh Harper ";"C";903;;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"John Boyd ";"LD";484;;;;;;;;;;;;;;;
"Renfrewshire";"Erskine & Inchinnan";"Jim Halfpenny ";"Sol";223;;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"Anne Hall ";"Lab";2216;1;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"Audrey Doig ";"SNP";1205;1;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"David Clews ";"C";1174;1;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"Allan Noon ";"SNP";1120;1;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"David Lavery ";"Lab";519;;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"Sandra Jelfs ";"LD";384;;;;;;;;;;;;;;;
"Renfrewshire";"Houston, Crosslee & Linwood";"Stefan Kohlmorgen ";"SSP";89;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"David Arthur ";"SNP";1595;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"Bruce McFee ";"SNP";1313;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"Neil Bibby ";"Lab";1168;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"John Kenny ";"Lab";1023;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"Tom Begg ";"C";568;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"David Jelfs ";"LD";282;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone N., Kilbarchan & Lochwinnoch";"Geoff Knowles ";"SSP";87;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"John Caldwell ";"Lab";1524;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Tracie McGee ";"SNP";1470;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Iain McMillan ";"Lab";1135;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"John Hood ";"Lab";742;1;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"John McIntyre ";"C";571;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Andrew McNair ";"SNP";561;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Alan Heron ";"LD";376;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Paul Gibson ";"Ind";199;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Gerry Kavanagh ";"Sol";113;;;;;;;;;;;;;;;
"Renfrewshire";"Johnstone S., Elderslie & Howwood";"Gerry McCartney ";"SSP";83;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Susan McDonald ";"LD";1608;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Brian Lawson ";"SNP";1583;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Rayleen Kelly ";"Lab";1033;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Jim Sharkey ";"Lab";1012;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Celia Lawson ";"SNP";934;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Alistair Campbell ";"C";798;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Sean Hurl ";"Sol";199;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley E. & Ralston";"Andy Bowden ";"SSP";170;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Terry Kelly ";"Lab";1671;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Kenny MacLaren ";"SNP";1387;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Tommy Williams ";"Lab";873;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Allison Cook ";"C";546;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Mike Dillon ";"LD";506;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Will Mylet ";"SNP";427;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Iain Hogg ";"SSP";225;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Robert Muir ";"Sol";139;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley N.W.";"Gordon Mackie ";"Ind";97;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Eddie Devine ";"Lab";1508;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"George Adam ";"SNP";1128;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Jim Mitchell ";"SNP";976;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Marie McGurk ";"LD";928;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Roy Glen ";"Lab";822;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Caroline Martin ";"Ind";763;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Ron Garrett ";"C";513;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Paul Mack ";"Ind";404;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Kingsley Matthews ";"Grn";130;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"Fiona MacDonald ";"Sol";104;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"John Workman ";"Ind";63;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.";"John Miller ";"SSP";46;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Lorraine Cameron ";"SNP";1879;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Jackie Green ";"Lab";1363;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Eileen McCartin ";"LD";1263;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Mark MacMillan ";"Lab";844;1;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Sheila Fulton ";"C";388;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"David McCartney ";"SNP";290;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Margaret McDonough ";"LD";176;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Bob Sharkey ";"Ind";172;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Danny Williamson ";"Sol";108;;;;;;;;;;;;;;;
"Renfrewshire";"Paisley S.W.";"Billy McNaughton ";"SSP";50;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Derek Mackay ";"SNP";1549;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Alexander Murrin ";"Lab";1236;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Bill Perrie ";"SNP";673;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Donnie Smith ";"Lab";527;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Charlie Newlands ";"Ind";516;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Ron Kane ";"C";286;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew N.";"Alan Jelfs ";"LD";218;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Mary Fee ";"Lab";1452;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Cathy McEwan ";"SNP";1339;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Eddie Grady ";"Lab";896;1;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"David Mylet ";"SNP";748;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Tommy Dyer ";"Ind";294;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Jim Foster ";"C";291;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Angela McGarrigle ";"LD";246;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Gillie MacDonald ";"Sol";127;;;;;;;;;;;;;;;
"Renfrewshire";"Renfrew S. & Gallowhill";"Douglas Canning ";"SSP";90;;;;;;;;;;;;;;;
"Scottish Borders";"East Berwickshire";"Michael Cook ";"Ind";1512;1;;;;;;;;;;;;;;
"Scottish Borders";"East Berwickshire";"Jim Fullarton ";"C";1333;1;;;;;;;;;;;;;;
"Scottish Borders";"East Berwickshire";"David Raw ";"LD";804;1;;;;;;;;;;;;;;
"Scottish Borders";"East Berwickshire";"Aileen Orr ";"SNP";701;;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"John Mitchell ";"SNP";1519;1;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Jim Hume ";"LD";1466;1;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Fiona Lackenby ";"C";735;1;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Sandy Aitchison ";"BP";693;1;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Bill White ";"Ind";453;;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Graeme McIver ";"Sol";210;;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"David Smail ";"Ind";173;;;;;;;;;;;;;;;
"Scottish Borders";"Galashiels & District";"Alastair Lings ";"Ind";136;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Zandra Elliott ";"C";980;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Stewart Marshall ";"Ind";904;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Jock Houston ";"LD";738;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Derek Philips ";"SNP";454;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Andrew Farquhar ";"Ind";301;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Alex Martin ";"LD";232;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Kevin Ferguson ";"Grn";112;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Denholm";"Charles Humphries ";"BP";50;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"David Paterson ";"Ind";1022;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"George Turnbull ";"C";953;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"Jim Rowan ";"SNP";674;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"Ron Smith ";"LD";475;1;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"Etta McKean ";"LD";380;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"Jake Irvine ";"Ind";324;;;;;;;;;;;;;;;
"Scottish Borders";"Hawick & Hermitage";"Lesley Wood ";"Grn";126;;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Sandy Scott ";"C";1011;1;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Len Wyse ";"C";878;1;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Jim Brown ";"SNP";877;1;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Alistair O'Neil ";"LD";716;;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Jim Smith ";"BP";316;;;;;;;;;;;;;;;
"Scottish Borders";"Jedburgh & District";"Jim Millhouse ";"Ind";87;;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Alec Nicol ";"LD";1116;1;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Alasdair Hutton ";"C";982;1;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Tom Weatherston ";"Ind";814;1;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Trevor Black ";"Ind";431;;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Andrew Thomson ";"C";427;;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Paul Cartledge ";"SNP";346;;;;;;;;;;;;;;;
"Scottish Borders";"Kelso & District";"Michael Scott ";"Grn";218;;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"David Parker ";"Ind";1362;1;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"John Greenwell ";"C";713;;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"John Paton-Day ";"LD";703;1;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"Nicholas Watson ";"BP";692;1;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"Frank McCann ";"SNP";640;;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"Harry Cummings ";"Ind";394;;;;;;;;;;;;;;;
"Scottish Borders";"Leaderdale & Melrose";"John Rae ";"Ind";78;;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Frances Renton ";"LD";1186;1;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Donald Moffat ";"SNP";1173;1;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Trevor Jones ";"C";1051;1;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Margaret McCrave ";"C";722;;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Diana Miers ";"BP";255;;;;;;;;;;;;;;;
"Scottish Borders";"Mid Berwickshire";"Anne Roberts ";"Ind";105;;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Vicky Davidson ";"LD";1313;1;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Carolyn Riddell-Carre ";"C";1121;1;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Kenneth Gunn ";"SNP";826;1;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Gordon Edgar ";"Ind";558;;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Violet Baillie ";"BP";360;;;;;;;;;;;;;;;
"Scottish Borders";"Selkirkshire";"Alastair Pattullo ";"Ind";279;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Bill Herd ";"SNP";1167;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Graham Garvie ";"LD";1159;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Gavin Logan ";"C";1086;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Robin Tatler ";"Lab";563;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Brian McCrow ";"LD";490;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Tom Douglas ";"BP";231;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale E.";"Norman Lockart ";"SSP";105;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Catriona Bhatia ";"LD";1202;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Neil Calvert ";"C";1091;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Willie Archibald ";"SNP";784;1;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Nancy Norman ";"Ind";672;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Tom Davidson ";"Ind";667;;;;;;;;;;;;;;;
"Scottish Borders";"Tweeddale W.";"Eamonn O'Neill ";"Lab";356;;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Allan Wishart ";"Ind";505;1;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Sandy Cluness ";"Ind";264;1;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Caroline Miller ";"Ind";206;1;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Bill Adams ";"Ind";125;;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Kin Learmonth ";"SSP";110;;;;;;;;;;;;;;;
"Shetland";"Lerwick N.";"Kathy Greaves ";"Ind";79;;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Cecil Eunson ";"Ind";489;1;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Gussie Angus ";"Ind";473;1;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Cecil Smith ";"Ind";199;1;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Maurice Mullay ";"C";159;;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Robbie Leith ";"SSP";150;;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Jim Henry ";"Ind";127;1;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Michael Peterson ";"Ind";116;;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Geoff Feather ";"Ind";97;;;;;;;;;;;;;;;
"Shetland";"Lerwick S.";"Lindsay Smith ";"Ind";40;;;;;;;;;;;;;;;
"Shetland";"North Isles";"Josie Simpson ";"Ind";479;1;;;;;;;;;;;;;;
"Shetland";"North Isles";"Laura Baisley ";"Ind";197;1;;;;;;;;;;;;;;
"Shetland";"North Isles";"Brian Gregson ";"Ind";145;;;;;;;;;;;;;;;
"Shetland";"North Isles";"Robert Henderson ";"Ind";145;1;;;;;;;;;;;;;;
"Shetland";"North Isles";"Gordon Williamson ";"Ind";126;;;;;;;;;;;;;;;
"Shetland";"North Isles";"Laurence Odie ";"Ind";117;;;;;;;;;;;;;;;
"Shetland";"North Isles";"Laurence Robertson ";"Ind";113;;;;;;;;;;;;;;;
"Shetland";"North Isles";"Robert Thomson ";"Ind";107;;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Iris Hawkins ";"Ind";330;1;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Andrew Hughson ";"Ind";311;1;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Betty Fullerton ";"Ind";257;1;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Ian Scott ";"Ind";131;;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Geordie Pottinger ";"Ind";98;;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"John Hunter ";"Ind";46;;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Jim Ivens ";"Ind";23;;;;;;;;;;;;;;;
"Shetland";"Shetland C.";"Scotty Dyble ";"Ind";19;;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Alastair Cooper ";"Ind";438;1;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Addie Doull ";"Ind";215;1;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Bill Manson ";"Ind";214;1;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Barbara Cheyne ";"Ind";186;;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Kenny Hughson ";"Ind";135;;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Alan MacDonald ";"Ind";82;;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Daniel Robertson ";"Ind";68;;;;;;;;;;;;;;;
"Shetland";"Shetland N.";"Joan Easten ";"Ind";46;;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"Allison Duncan ";"Ind";501;1;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"Jim Budge ";"Ind";350;1;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"Rick Nickerson ";"Ind";286;1;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"Gordon Mitchell ";"LD";225;;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"John Hunter ";"Ind";148;;;;;;;;;;;;;;;
"Shetland";"Shetland S.";"James Friedlander ";"LD";75;;;;;;;;;;;;;;;
"Shetland";"Shetland W.";"Frank Robertson ";"Ind";384;1;;;;;;;;;;;;;;
"Shetland";"Shetland W.";"Gary Robinson ";"Ind";289;1;;;;;;;;;;;;;;
"Shetland";"Shetland W.";"Florence Grains ";"Ind";245;1;;;;;;;;;;;;;;
"Shetland";"Shetland W.";"Brian Anderson ";"Ind";174;;;;;;;;;;;;;;;
"Shetland";"Shetland W.";"Marion Hughson ";"Ind";124;;;;;;;;;;;;;;;
